,Longitude,Latitude,min,max,most_recent_spray (days),Date_of_collection,Address,Block,Street,Trap,AddressNumberAndStreet,AddressAccuracy,NumMosquitos,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,WnvPresent,Recently_sprayed,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
0,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-07-02,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,2,0,1,0,0,0,0,0,0,2,77,58,68,50,59,0,3, ,M,M,M,0.00,29.55,30.21,7.4,12,8.5
1,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-07-02,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,1,0,0,1,0,0,0,0,0,2,77,58,68,50,59,0,3, ,M,M,M,0.00,29.55,30.21,7.4,12,8.5
2,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-07-18,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,1,0,1,0,0,0,0,0,0,2,85,69,77,69,71,0,12,TS TSRA RA BR HZ VCTS,M,M,M,0.92,29.18,29.83,10.3,24,10.6
3,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-07-18,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,1,0,0,1,0,0,0,0,0,2,85,69,77,69,71,0,12,TS TSRA RA BR HZ VCTS,M,M,M,0.92,29.18,29.83,10.3,24,10.6
4,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-07-18,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,1,0,0,1,0,0,0,0,0,2,85,69,77,69,71,0,12,TS TSRA RA BR HZ VCTS,M,M,M,0.92,29.18,29.83,10.3,24,10.6
5,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-08-01,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,1,0,1,0,0,0,0,0,0,2,91,69,80,63,70,0,15, ,M,M,M,0.00,29.34,29.98,2.1,13,3.7
6,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-08-01,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,1,0,0,1,0,0,0,0,0,2,91,69,80,63,70,0,15, ,M,M,M,0.00,29.34,29.98,2.1,13,3.7
7,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-08-01,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,1,1,0,0,0,0,0,0,0,2,91,69,80,63,70,0,15, ,M,M,M,0.00,29.34,29.98,2.1,13,3.7
8,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-08-15,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,3,0,1,0,0,0,0,0,0,2,81,72,77,69,71,0,12,TS TSRA RA BR,M,M,M,0.83,29.23,29.87,4.9,6,7.1
9,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-08-21,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,1,1,0,0,0,0,0,0,0,2,85,69,77,70,72,0,12,BR,M,M,M,0.01,29.26,29.89,3.5,17,6.0
10,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-09-04,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,1,0,1,0,0,0,0,0,0,2,90,67,79,59,67,0,14, ,M,M,M,0.00,29.34,29.99,2.2,24,5.0
11,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-09-04,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,1,1,0,0,0,0,0,0,0,2,90,67,79,59,67,0,14, ,M,M,M,0.00,29.34,29.99,2.2,24,5.0
12,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-09-18,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,19,0,1,0,0,0,0,0,0,2,89,66,78,57,65,0,13, ,M,M,M,0.00,29.41,30.05,12.5,19,12.8
13,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-09-18,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,1,1,0,0,0,0,0,0,0,2,89,66,78,57,65,0,13, ,M,M,M,0.00,29.41,30.05,12.5,19,12.8
14,-87.705,41.883,2013-08-22,2013-08-22,3650,2007-10-04,"3300 West Randolph Street, Chicago, IL 60612, USA",33, E RANDOLPH ST,T044,"3300  E RANDOLPH ST, Chicago, IL",8,1,1,0,0,0,0,0,0,0,2,83,56,70,56,62,0,5, ,M,M,M,0.00,29.39,30.03,4.6,17,5.9
15,-87.694,41.919,2013-08-08,2013-08-08,3650,2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",8,1,0,1,0,0,0,0,0,0,2,88,65,77,59,66,0,12,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4
16,-87.694,41.919,2013-08-08,2013-08-08,3650,2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",8,1,0,1,0,0,0,0,0,0,2,63,51,57,47,52,8,0,RA BR,M,M,M,0.27,29.16,29.78,6.2,3,8.1
17,-87.694,41.919,2013-08-08,2013-08-08,3650,2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",8,1,0,0,1,0,0,0,0,0,2,63,51,57,47,52,8,0,RA BR,M,M,M,0.27,29.16,29.78,6.2,3,8.1
